ds,yhat,yhat_lower,yhat_upper
2020-01-22,-995.4322364517116,-14914.50910976925,11572.248595933024
2020-01-23,-1112.4208248668183,-14817.312727759752,12843.113889746899
2020-01-24,-585.2805201907878,-14244.121973624195,13105.72632411962
2020-01-25,-285.19377810422964,-14506.936391906143,14167.583186221262
2020-01-26,593.6767928357514,-12945.318644064415,14553.633188872036
2020-01-27,594.1246231425869,-14005.525589381532,14120.164654731458
2020-01-28,-1545.0364129608404,-14944.482739837831,11432.647306357901
2020-01-29,-914.0669499306014,-14587.001316439235,13531.216214884258
2020-01-30,-1031.0555331779308,-14600.560010736664,12637.500887383278
2020-01-31,-503.91522333267653,-15337.095783322642,13521.469557098011
2020-02-01,-203.82847607843908,-13175.242784357722,13474.679427382576
2020-02-02,675.0421000341207,-12679.090158779702,14207.76962872807
2020-02-03,675.4899355121611,-12917.93611788403,14501.800762506315
2020-02-04,-1463.6711019327277,-16490.15920684139,11614.864042541278
2020-02-05,-832.7016454063656,-15206.321674624714,13574.050389377771
2020-02-06,-949.6902351600377,-13959.79354426695,12576.021148467913
2020-02-07,-422.5499318170891,-15319.398222477945,13211.179310600013
2020-02-08,-122.46319106538908,-14196.979232592297,12988.262191260983
2020-02-09,756.4073785350586,-11538.761220304554,14083.722134315523
2020-02-10,756.8552517307385,-12875.854913632184,15451.369168820502
2020-02-11,-1382.3057414900627,-14858.8670816731,13432.640185365019
2020-02-12,-751.3362407458889,-14912.17922087617,12616.109574007765
2020-02-13,-868.3247862812734,-15004.090496370934,13180.709892853452
2020-02-14,-341.1844387175708,-13842.423537163448,13977.081709365208
2020-02-15,-41.09765374651943,-14136.795453460356,14143.261116465967
2020-02-16,837.7729626231633,-13114.430396246493,15530.837404288544
2020-02-17,838.220838360857,-13229.466436272076,14643.179644946444
2020-02-18,-1300.9401523144845,-14621.81618437092,13669.09881206985
2020-02-19,-669.9706490253282,-13225.625528885937,13058.175101339915
2020-02-20,-786.9591920113199,-13963.931099001746,12766.20130725881
2020-02-21,-259.81884190724475,-13052.462039276525,13710.18582669791
2020-02-22,40.26794901614852,-13352.62444008566,15148.198550371666
2020-02-23,919.1385688005123,-12429.3178020596,15486.440479169722
2020-02-24,919.5864479427249,-13454.387298449952,15373.577174101474
2020-02-25,-1219.5745393216082,-15583.371117633462,13321.946394336823
2020-02-26,-588.6050326212263,-14351.300964782433,13513.534418744346
2020-02-27,-705.5935722009416,-14432.492431352488,13014.123836835597
2020-02-28,-178.453311237193,-14360.997930921483,13740.719573049055
2020-02-29,121.63338713378401,-12928.902060630746,14443.721233881668
2020-03-01,1000.5039143630559,-13531.34724992674,14340.159948247
2020-03-02,1000.9517009601001,-13507.047067886153,14903.094353373452
2020-03-03,-1138.2093788580057,-15934.00427788981,12297.43178879586
2020-03-04,-507.23996471021354,-14730.280942878217,13552.785893406704
2020-03-05,-602.0313545243009,-14776.522627977292,12997.604631761345
2020-03-06,-52.6938512446474,-13395.44037055869,14376.471081531237
2020-03-07,269.5900894403218,-14179.31001692078,15350.933069229226
2020-03-08,1170.6578589851695,-14193.064961810413,15098.910491064149
2020-03-09,1193.3028878974296,-13017.730255408682,15445.079503966102
2020-03-10,-923.6609496101883,-14531.051536723766,13543.646478969084
2020-03-11,-270.3660179940007,-14855.87417943162,12352.343078054779
2020-03-12,-365.02913265795695,-13042.856636943432,14065.388912788365
2020-03-13,184.43664577171683,-14450.514488646213,13742.801290190222
2020-03-14,506.8488616133686,-13824.952991506856,14803.299771579297
2020-03-15,1408.0449063059918,-12782.702361789394,16236.526143982803
2020-03-16,1430.818210372629,-12500.800078646957,14942.330999647964
2020-03-17,-686.0171996401427,-14751.564100956315,14579.565759944619
2020-03-18,-32.722115681667674,-13289.669690242983,13471.022693846977
2020-03-19,-127.38507800412452,-14530.34686389775,14322.32354727268
2020-03-20,422.08085277107307,-12847.409325410992,14592.805831339989
2020-03-21,744.4932209544598,-13226.031586544745,13300.600535631771
2020-03-22,1645.6894179904739,-12548.500380044126,15481.655140269817
2020-03-23,1669.4670971833516,-12605.519283353939,16189.942761586868
2020-03-24,-446.36409003980157,-14174.837270711269,12876.18198255717
2020-03-25,207.9352167071815,-13565.342910707843,14925.512359053275
2020-03-26,114.27647717788602,-14050.972417805606,14478.45333498205
2020-03-27,664.746630738952,-12735.888177332305,15691.777315224881
2020-03-28,988.1632217102639,-13471.076713312614,13363.94441121273
2020-03-29,2163.834044172732,-11853.011915739497,16064.604281123226
2020-03-30,2461.082125999703,-10901.314169536192,16491.198095724056
2020-03-31,618.7213414194098,-13149.020358314827,15416.89292267079
2020-04-01,1546.491050799033,-12101.895179867342,15447.056200528534
2020-04-02,1726.302713904699,-12347.702422644496,15709.031192821041
2020-04-03,2550.2432701052203,-11975.729759850501,16008.39042267185
2020-04-04,3371.0438770565243,-10647.265507520246,17401.37397948204
2020-04-05,4770.628312861928,-8584.145682443812,19232.971637186365
2020-04-06,5291.790008038043,-8996.154496269266,18415.493075304617
2020-04-07,3673.3428368009645,-10260.75423271796,17285.089334877055
2020-04-08,4825.026159527795,-8973.465306291502,19055.37932587417
2020-04-09,5417.572856242335,-7796.890776809107,18923.357559539254
2020-04-10,6654.2484460533105,-7674.72764796858,20774.812941726796
2020-04-11,7663.87047326478,-6257.896249786702,21713.649356743677
2020-04-12,9252.276329335085,-4254.235501166276,22646.975575909797
2020-04-13,9962.259444772568,-3728.6290843337874,24015.760440884147
2020-04-14,8532.633693800686,-5708.425509293182,21917.58679750097
2020-04-15,9998.390250056038,-3357.0677284182243,24261.41882218527
2020-04-16,10716.18876003329,-2660.9212468623896,24061.873600141942
2020-04-17,12078.116163105347,-1885.418275457822,25928.79238285697
2020-04-18,13212.990003587962,-1215.2374366500578,26658.500690650435
2020-04-19,14926.647672920026,1292.8866024814424,29344.605849318614
2020-04-20,15761.882601618108,2046.1041191341717,29259.00169870964
2020-04-21,14600.84645565006,775.530255065153,28594.991516304563
2020-04-22,16209.94080363935,2939.215616750921,30768.430359493395
2020-04-23,17071.07710535276,4048.692722374181,31434.614778007726
2020-04-24,18576.342300162523,4622.226690789957,32494.728773941053
2020-04-25,19854.55393237805,5831.8716269246725,33636.59572279936
2020-04-26,21711.54939344775,8454.950205358875,35734.09867423813
2020-04-27,22984.50151443289,9058.077795173449,36399.36470610698
2020-04-28,22117.844769004307,8331.262691418146,35596.04331056806
2020-04-29,24021.318517539738,10615.510325195457,36830.545446835284
2020-04-30,25176.834219797736,11145.928768060452,39966.649858840305
2020-05-01,26976.47881515099,12404.291665785191,40353.62424388064
2020-05-02,28549.069847912288,15010.81043658773,42401.059361690684
2020-05-03,31135.763103714457,16935.996649857178,45762.65099467493
2020-05-04,32844.03361887839,18062.53988933942,45971.365254485216
2020-05-05,32412.69526763132,17660.722213874356,45178.680552640144
2020-05-06,34751.48741035031,20409.925332914663,47655.44720824166
2020-05-07,36342.321506789944,23187.22987186927,50374.81685403708
2020-05-08,38577.28449632632,24264.291995135987,52312.51548852717
2020-05-09,40997.43054317799,26440.829932448138,55387.621485537245
2020-05-10,43996.360418884964,30246.863989035195,58613.541400490016
2020-05-11,46116.86755395839,32385.24164898723,60136.80120781928
2020-05-12,46097.76582262271,32134.720503406024,60045.79998102655
2020-05-13,48848.794585248965,35149.2462902485,63120.09453097379
2020-05-14,50851.86530159854,37126.08252280824,64638.32465216759
2020-05-15,53957.52867295365,39950.137514464506,67578.85591798203
2020-05-16,56836.13848171645,42897.56216622923,70839.52466641089
2020-05-17,60293.53211933356,45430.10770143123,75075.78986473868
2020-05-18,62872.50301632047,47547.37249996756,76568.19702041574
2020-05-19,63311.86504688679,49237.13994892042,77294.24080319298
2020-05-20,66521.35757142275,51772.47650530592,79744.10964821427
2020-05-21,69146.45229499262,54761.244770775236,83366.84238383033
2020-05-22,72415.67591165383,58426.127422902435,85693.10899418952
2020-05-23,75457.84596572485,60857.282714899586,89388.9468068015
2020-05-24,79078.79984865013,65522.65956351016,92318.21397780796
2020-05-25,81821.33099094605,66956.83353678952,95886.3811864008
2020-05-26,82424.25326682304,67222.3095256068,96040.64105283238
2020-05-27,85800.22839438103,71791.66151180939,101042.62468083152
2020-05-28,88428.2454756618,73534.59268926209,102529.09024136206
2020-05-29,91700.39145003486,77899.48333832544,105456.78147270643
2020-05-30,94745.48386181673,80791.00884957374,107681.42827925117
2020-05-31,98369.36010245513,83953.88298368736,112171.64324911893
