ds,yhat,yhat_lower,yhat_upper
2020-01-22,-22.14384539165407,-463.40092650816916,409.2638143808052
2020-01-23,-21.896665152778063,-511.85493129615105,456.69355282380633
2020-01-24,-15.908959995600679,-459.88621591023355,451.0335244766022
2020-01-25,-15.79816843182951,-470.0131978181441,428.1048939152022
2020-01-26,-18.90956895906109,-457.52643842678225,410.41286185519795
2020-01-27,-28.67152688785454,-488.13559330454746,414.6398528717455
2020-01-28,-30.787701598263375,-512.4660518519771,423.0060344277701
2020-01-29,-16.980367442956684,-477.97530986348636,473.42567115185506
2020-01-30,-16.733187207066997,-506.41943065775655,451.3840351555385
2020-01-31,-10.745482052871225,-480.9864908617885,437.99739006125964
2020-02-01,-10.634690492073664,-451.94582281120915,454.0477460525933
2020-02-02,-13.74609102226157,-476.25342557957885,424.1978336989189
2020-02-03,-23.50804895400301,-476.22135312941674,450.55925391712526
2020-02-04,-25.624219817298076,-520.1832164944,406.00937501624105
2020-02-05,-11.816881811901341,-476.30599727222227,476.2092291155739
2020-02-06,-11.569697725913327,-478.04455358191166,475.0852825204647
2020-02-07,-5.581988721604168,-411.2927010142745,439.0541873627197
2020-02-08,-5.471193310695084,-466.5965334200025,447.2753406116934
2020-02-09,-8.582589990827833,-441.66252767056505,465.54464707265277
2020-02-10,-18.344543366168523,-453.41893234241587,442.1137153746424
2020-02-11,-20.460713523215198,-456.82853916559293,473.00894597029304
2020-02-12,-6.653374811518846,-464.60790211064926,447.3358611170135
2020-02-13,-6.4061900192621515,-443.56416355374876,464.81293359187777
2020-02-14,-0.41848030868016917,-436.4961328528418,460.83414102858694
2020-02-15,-0.3076841915098756,-455.61851897225824,455.24876878947964
2020-02-16,-3.4190810913294056,-445.3194079194802,447.4021665928565
2020-02-17,-13.181035392652678,-444.5445679436541,457.96442630049347
2020-02-18,-15.29720647565803,-488.3323898220175,476.6887914780681
2020-02-19,-1.489868689938593,-440.2306313971634,434.1481734379452
2020-02-20,-1.2426848236634334,-437.3787724778594,473.3506456421733
2020-02-21,4.7450239609372105,-474.4635552529826,443.2424368835907
2020-02-22,4.8558457452601935,-439.1505847199895,458.1404887193056
2020-02-23,1.74447543856918,-445.64971000157044,456.75507805922814
2020-02-24,-8.017452269652255,-467.8207461831461,440.9549696963116
2020-02-25,-10.133596759511674,-464.7261926195717,436.8487047451446
2020-02-26,3.6737676193325806,-452.9004138621677,454.1744561342324
2020-02-27,3.9209780787266997,-462.2224735741338,433.6261450508178
2020-02-28,9.9087108408425,-476.81919099548617,453.8136890986164
2020-02-29,10.019530009540624,-430.6178497359901,460.69069635848086
2020-03-01,6.908157087261081,-456.79245143816235,472.51916645508834
2020-03-02,-2.8537732365752904,-468.0920596537074,459.4187132960255
2020-03-03,-4.969920342060171,-449.53077885160377,436.2810388905072
2020-03-04,8.837441421141774,-470.9036757655306,459.0047769950285
2020-03-05,9.09444508010151,-447.97484875503153,479.5837389290962
2020-03-06,15.091973657378254,-431.93405051040395,448.16337418902737
2020-03-07,15.21258864122384,-435.5263071872916,488.9000374783311
2020-03-08,12.111011534098896,-463.0781550054008,473.90687275153584
2020-03-09,2.3588770254242064,-449.92950324545524,472.30222540627136
2020-03-10,0.25252573508069176,-453.04709465897946,475.1419378671704
2020-03-11,14.970598814611552,-445.6924776504028,473.6191816245108
2020-03-12,16.128517974744515,-432.72143508350837,462.3414392284023
2020-03-13,23.026962053189138,-406.9026232954937,452.8231603123375
2020-03-14,24.048492538224707,-432.4107297490003,469.270756754898
2020-03-15,21.84783093224383,-436.95477080223895,526.7540642386174
2020-03-16,12.99661192477216,-482.08217099665507,485.0966227045045
2020-03-17,11.868256252327397,-425.68085894638824,486.09546950033973
2020-03-18,26.66340944856229,-405.84919063648283,502.6152256665312
2020-03-19,27.898408725387526,-431.5378906153393,505.6022177365264
2020-03-20,34.87393292053862,-431.1313269018849,478.47435471340424
2020-03-21,35.97254352228438,-439.3486684592444,548.0071665193091
2020-03-22,33.84896203301106,-429.4686510497117,497.5526837805657
2020-03-23,25.403654334521285,-416.6340220065507,483.0926485972244
2020-03-24,24.604129854384844,-464.79838510996274,496.6053393694968
2020-03-25,39.728114242902805,-451.22852032504613,504.04415879231794
2020-03-26,41.291944712056704,-438.2969202264565,483.16363770038265
2020-03-27,48.59630009950339,-432.65140444046284,525.675905844492
2020-03-28,50.02374189353789,-403.5472785291044,486.2884981646198
2020-03-29,50.95490574415689,-406.50354972021034,506.26801186648606
2020-03-30,45.235512193254294,-431.9431232797994,480.1488331166202
2020-03-31,47.161901860715574,-400.3731507607544,503.01217701843456
2020-04-01,65.01180039684832,-395.88438928128517,495.50507625159804
2020-04-02,69.30154501358736,-393.7269046115495,550.1963020834336
2020-04-03,79.33181454863814,-421.393172164816,521.5000199446321
2020-04-04,95.71623232556804,-372.04573462595596,535.3246017973598
2020-04-05,108.87845801149624,-336.67610608462485,555.368373185307
2020-04-06,115.39012629586965,-362.88146088337027,596.5538703036531
2020-04-07,129.54757779861382,-303.87575621870013,597.5934904312631
2020-04-08,159.62853817004034,-314.48490487944105,608.3252117590116
2020-04-09,191.76293965950583,-277.3731185125735,672.4553813009962
2020-04-10,229.63786606729184,-249.55845834054708,714.7606509219643
2020-04-11,261.6358788816347,-189.5319930287913,724.1563066777211
2020-04-12,290.4116996049952,-158.04092271636088,731.5396228845074
2020-04-13,312.5369629267951,-189.13593885935813,788.5667395565994
2020-04-14,342.30800946699355,-80.39333954289224,779.1678880224756
2020-04-15,395.95926069617866,-62.97768786468388,833.8253740816914
2020-04-16,436.0503580059555,-58.770580244764865,915.9105041678957
2020-04-17,481.88198023405454,-16.99819730358389,933.2940892732485
2020-04-18,521.8366888687466,99.50910786197801,991.9600138321802
2020-04-19,558.5692054124149,93.39134828254599,999.2715566155747
2020-04-20,588.6511645545283,143.86012157915386,1052.2404147422762
2020-04-21,638.6200090155579,188.91630040359297,1094.5254856680883
2020-04-22,704.512362345306,225.53101981787023,1143.0326623539354
2020-04-23,756.8445617556167,277.22724753541974,1216.2802147814607
2020-04-24,814.9172860842581,402.8618756220836,1276.17344880875
2020-04-25,867.1130968194652,437.9028018198313,1343.1210895078948
2020-04-26,916.0867154636671,454.95155725541247,1344.8368481965795
2020-04-27,968.0777124667858,549.6295858423463,1423.0049838254897
2020-04-28,1027.7144926882145,580.2091658350054,1500.3852424959955
2020-04-29,1103.2747817784002,634.9771889800264,1545.1715680329405
2020-04-30,1165.2749169491262,711.1111717891332,1628.3049180695386
2020-05-01,1233.0155770381766,751.9720145901357,1677.36899754487
2020-05-02,1294.8793235338371,806.2998537154687,1761.4421739132008
2020-05-03,1404.518815221891,959.8343058463063,1874.839092648523
2020-05-04,1507.507749508424,1061.396973605082,2005.6411803755639
2020-05-05,1618.1424670132812,1131.7917967572982,2055.7004348365363
2020-05-06,1744.7006933868902,1247.4859611217105,2210.6471342622945
2020-05-07,1857.6987658410374,1371.1062908345152,2299.5510285369683
2020-05-08,1976.4373632135168,1548.7710124194855,2474.9055093154434
2020-05-09,2091.873731878152,1646.3590112503505,2545.903598781791
2020-05-10,2204.0879084517364,1747.2758836387575,2650.074548704717
2020-05-11,2309.651527623842,1861.9388451869247,2750.5593495642606
2020-05-12,2422.860930014294,1960.0561054677903,2861.2141515547273
2020-05-13,2551.9938412734205,2091.7439697979353,3030.1656481404066
2020-05-14,2667.566598613152,2234.1703554105534,3106.1350732058704
2020-05-15,2798.8933125203944,2332.477673880002,3261.379357264041
2020-05-16,2924.3431128342318,2475.6719379873703,3374.821109539384
2020-05-17,3046.5707210570167,2545.371113164726,3510.171922765424
2020-05-18,3162.147771878357,2723.5181042663,3596.479758050343
2020-05-19,3285.3706059179754,2836.0775545261304,3696.0122497545167
2020-05-20,3424.5169488262954,2947.956761059815,3897.354327015029
2020-05-21,3577.594527419503,3128.167591602239,4012.07148220885
2020-05-22,3736.4126309310177,3280.1827325142044,4201.084620515775
2020-05-23,3889.353820849123,3430.861717866868,4358.199469934364
2020-05-24,4039.0728186762267,3591.0637067385264,4476.470458430873
2020-05-25,4182.141259101797,3745.9461869518345,4637.979382457149
2020-05-26,4332.855482745712,3869.562530534741,4787.565976604847
2020-05-27,4543.07207540805,4115.8148298974465,5016.48447086762
2020-05-28,4739.728514150977,4286.270495527807,5195.294721245402
2020-05-29,4942.1254778122175,4530.254042920624,5372.024082961596
2020-05-30,5138.645527880051,4684.117262142876,5562.32855899626
2020-05-31,5331.943385856892,4890.113819985156,5776.976724816612
2020-06-01,5518.590686432221,5072.66013495033,5983.481067474369
2020-06-02,5791.87100137024,5318.09331953926,6228.065039184753
2020-06-03,6081.0748251769555,5617.417887440618,6538.284197588109
2020-06-04,6356.718495064272,5862.11310431697,6825.21371695655
2020-06-05,6638.102689869902,6217.217069360703,7095.344055668726
2020-06-06,6913.609971082121,6449.009688080111,7404.063186526045
2020-06-07,7185.895060203331,6755.767752440361,7616.543756219999
2020-06-08,7540.093306660998,7063.260003731228,8002.4583689710535
2020-06-09,7901.937336336986,7459.130139325229,8345.411274834278
2020-06-10,8279.704874881698,7851.373519682686,8759.884145292886
